summary_nr,rel_insp_nr,age,sex,nature_of_inj,part_of_body,src_of_injury,event_type,evn_factor,hum_factor,occ_code,degree_of_inj,task_assigned,hazsub,const_op,const_op_cause,fat_cause,fall_distance,fall_ht,injury_line_nr,load_dt
221199151,344310404,0,,21,4,43,14,7,14,7022,1,2,,,,,,,3,2020-07-16 00:25:40 EDT
221199151,344310404,0,,6,16,43,14,18,14,417,2,2,,,,,,,4,2020-07-16 00:25:40 EDT
221199151,344310404,0,,7,13,43,14,18,14,417,2,2,,,,,,,6,2020-07-16 00:25:40 EDT
221199151,344310404,0,,21,8,43,14,18,14,417,2,2,,,,,,,7,2020-07-16 00:25:40 EDT
221199151,344310404,0,,21,4,43,14,7,14,7022,1,2,,,,,,,7,2020-05-24 00:19:09 EDT
221199151,344310404,0,,7,21,43,14,18,14,,2,2,,,,,,,2,2020-07-18 04:10:54 EDT
221199151,344310404,0,,21,8,43,14,18,14,417,2,2,,,,,,,4,2020-07-18 04:10:54 EDT
221199151,344310404,0,,5,8,43,14,18,14,,2,2,,,,,,,1,2020-07-27 00:19:05 EDT
221199151,344310404,0,,21,4,43,14,7,14,7022,1,2,,,,,,,2,2020-07-27 00:19:05 EDT
221199151,344310404,0,,21,8,43,14,18,14,417,2,2,,,,,,,3,2020-07-27 00:19:05 EDT
221199151,344310404,0,,7,13,43,14,18,14,417,2,2,,,,,,,4,2020-07-27 00:19:05 EDT
221199151,344310404,0,,7,21,43,14,18,14,,2,2,,,,,,,5,2020-07-27 00:19:05 EDT
221199151,344310404,0,,6,16,43,14,18,14,417,2,2,,,,,,,6,2020-07-27 00:19:05 EDT
221199151,344310404,0,,5,31,43,14,18,14,,2,2,,,,,,,7,2020-07-27 00:19:05 EDT
221199151,344310404,0,,7,13,43,14,18,14,417,2,2,,,,,,,7,2020-07-03 00:19:25 EDT
221199151,344310404,0,,7,13,43,14,18,14,417,2,2,,,,,,,5,2020-07-26 00:19:15 EDT
221199151,344310404,0,,5,31,43,14,18,14,,2,2,,,,,,,6,2020-07-26 00:19:15 EDT
221199151,344310404,0,,21,8,43,14,18,14,417,2,2,,,,,,,6,2020-07-03 00:19:25 EDT
221199151,344310404,0,,5,8,43,14,18,14,,2,2,,,,,,,4,2020-07-02 00:19:30 EDT
221199151,344310404,0,,21,4,43,14,7,14,7022,1,2,,,,,,,5,2020-07-02 00:19:30 EDT
221199151,344310404,0,,7,21,43,14,18,14,,2,2,,,,,,,6,2020-07-02 00:19:30 EDT
221199151,344310404,0,,7,21,43,14,18,14,,2,2,,,,,,,1,2020-07-26 00:19:15 EDT
221199151,344310404,0,,21,8,43,14,18,14,417,2,2,,,,,,,2,2020-07-26 00:19:15 EDT
221199151,344310404,0,,5,8,43,14,18,14,,2,2,,,,,,,3,2020-07-26 00:19:15 EDT
221199151,344310404,0,,21,4,43,14,7,14,7022,1,2,,,,,,,4,2020-07-26 00:19:15 EDT
221199151,344310404,0,,6,16,43,14,18,14,417,2,2,,,,,,,2,2020-07-03 00:19:25 EDT
221199151,344310404,0,,5,8,43,14,18,14,,2,2,,,,,,,5,2020-07-03 00:19:25 EDT
221199169,344316872,0,,12,4,28,1,13,14,806,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221199169,344314885,0,,12,4,28,1,13,14,806,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221199201,344246863,0,,6,3,43,1,8,14,873,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221199219,344315270,0,,21,4,43,5,13,9,573,1,2,,38,,30,,,1,2020-07-27 00:19:05 EDT
221199227,344315551,0,,3,16,29,1,14,1,426,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221199508,344293113,0,,21,13,43,4,18,1,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221199664,344318688,0,,2,16,42,1,1,14,889,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221199664,344319306,0,,2,16,42,1,1,14,889,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221199698,344208327,0,,10,4,15,1,18,14,,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221199904,344319959,0,,9,31,42,5,17,14,889,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221199938,344292115,0,,21,5,43,12,18,14,455,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221199961,344317599,0,,10,21,15,13,13,1,999,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221200058,344322052,0,,12,13,43,1,8,10,0,1,2,,,,3,,,1,2020-07-27 00:19:05 EDT
221200116,344322391,0,,21,31,43,14,18,14,0,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221200157,344322912,0,,5,4,43,1,10,1,783,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221200215,344310537,0,,10,13,15,13,18,13,453,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221200223,344315171,0,,21,4,29,1,18,14,0,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221200231,344323258,0,,21,19,30,2,8,1,,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221200280,344188057,0,,21,31,43,14,18,14,889,1,2,,1,,25,,,1,2020-07-27 00:19:05 EDT
221200322,344324710,0,,21,13,29,14,18,1,7020,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221200470,344324637,0,,2,20,26,1,8,10,889,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221200488,344326293,0,,21,7,43,14,18,14,558,1,2,,29,,,,,1,2020-07-27 00:19:05 EDT
221200520,344326475,0,,5,13,16,14,10,14,889,1,2,,,,,,,1,2020-04-16 00:18:59 EDT
221200520,344326475,0,,5,13,16,14,10,14,889,1,2,,,,,,,2,2020-07-27 00:19:05 EDT
221200520,344326475,0,,5,2,16,14,7,1,558,3,2,,,,,,,1,2020-07-27 00:19:05 EDT
221200520,344326475,0,,5,2,16,14,7,1,558,3,2,,,,,,,2,2020-04-16 00:18:59 EDT
221200603,344327051,0,,6,13,24,5,18,1,519,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
