table_name,column_name,attribute_name,definition,column_datatype,display_name
"osha_accident","nonbuild_ht","Non Building Height","Construction - height in feet when not a building","Numeric, Length=4","Height for Non-Building"
"osha_accident","project_type","Project Type","Construction - project type (code table PTYP)","Alphanumeric, Length:1","Project Type"
"osha_accident","event_date","Event Date","Date of accident (yyyymmdd)","Numeric, Length=8","Event Date"
"osha_accident","event_keyword","Event Keyword","Contains comma separated keywords entered by ERG during the review process.","Alphanumeric, Length:200","Event Keyword"
"osha_accident","report_id","Report ID","Identifies the OSHA federal or state reporting jurisdiction","Numeric, Length=7","Reporting  ID"
"osha_accident","event_desc","Event Description","Short description of event","Alphanumeric, Length:60","Event Description"
"osha_accident","load_dt","Load Date Timestamp","The date the load was completed.","date","No Label"
"osha_accident","summary_nr","Summary NR","Identifies the accident OSHA-170 form","Numeric, Length=9","Summary NR"
"osha_accident","fatality","Fatality","X=Fatality is associated with accident","Alphanumeric, Length:1","Fatality"
"osha_accident","build_stories","Stories in Building","Construction - nr of stories in building","Numeric, Length=4","Stories in Building"
"osha_accident","event_time","Event Time","Time of accident (hhmm)","Numeric, Length=8","Event Time"
"osha_accident","sic_list","SIC List","Comma separated 4-digit SICs associated with related inspections","Alphanumeric, Length:40","Associated SICs"
"osha_accident","const_end_use","Construction End Use","Construction - end-use (code table ENDU)","Alphanumeric, Length:1","End Use"
"osha_accident","abstract_text","Abstract Text","Abstract text.","Alphanumeric, Length:80","Abstract Text"
"osha_accident","state_flag","State Flag","The flag used to identify a State.","Alphanumeric, Length:1","No Label"
"osha_accident","project_cost","Project Cost","Construction - project cost range (code table COST)","Alphanumeric, Length:1","Project Cost"
"osha_accident_abstract","line_nr","Line NR","Abstract line nr - this is a sequence number which should only be used for ordering the lines","Numeric, Length=4","Line NR"
"osha_accident_abstract","abstract_text","Abstract text","Abstract text","Alphanumeric, Length:80","Abstract Text"
"osha_accident_abstract","load_dt","Load Date Timestamp","The date the load was completed.","date","No Label"
"osha_accident_abstract","summary_nr","Summary NR","Identifies the accident OSHA-170 form","Numeric, Length=9","Summary NR"
"osha_accident_injury","load_dt","Load Date Timestamp","The date the load was completed.","date","No Label"
"osha_accident_injury","degree_of_inj","Degree of Injury","1=Fatality. 2=Hospitalized injuries. 3=No Hospitalized injuries","Numeric, Length=1","Degree of Injury"
"osha_accident_injury","task_assigned","Task Assigned","1=Task regularly assigned. 2=Task not regularly assigned","Numeric, Length=1","Task Assigned"
"osha_accident_injury","age","Age","Age of the injured person","Numeric, Length=2","Age"
"osha_accident_injury","fat_cause","Construction Cause of Fatality","Construction - cause of fatality (code table CAUS)","Numeric, Length=2","Cause of Fatality"
"osha_accident_injury","const_op_cause","Construction Cause of Injury","Construction - cause of injury (code table OPER)","Numeric, Length=2","Cause of Injury"
"osha_accident_injury","fall_distance","Distance of Fall","Construction - distance of fall (feet)","Numeric, Length=4","Distance of Fall"
"osha_accident_injury","fall_ht","Height of Person","Construction - height of person when fell (feet)","Numeric, Length=4","Height of Person"
