## created with
## $ xsv select 1,2,3,5,6,4 data/compiled/osha/raw/osha_data_dictionary.csv | csvlook

| table_name                  | column_name             | attribute_name                 | column_datatype          | display_name                   | definition                                                                                                                                                                                                                                                                           |
| --------------------------- | ----------------------- | ------------------------------ | ------------------------ | ------------------------------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| osha_accident               | nonbuild_ht             | Non Building Height            | Numeric, Length=4        | Height for Non-Building        | Construction - height in feet when not a building                                                                                                                                                                                                                                    |
| osha_accident               | project_type            | Project Type                   | Alphanumeric, Length:1   | Project Type                   | Construction - project type (code table PTYP)                                                                                                                                                                                                                                        |
| osha_accident               | event_date              | Event Date                     | Numeric, Length=8        | Event Date                     | Date of accident (yyyymmdd)                                                                                                                                                                                                                                                          |
| osha_accident               | event_keyword           | Event Keyword                  | Alphanumeric, Length:200 | Event Keyword                  | Contains comma separated keywords entered by ERG during the review process.                                                                                                                                                                                                          |
| osha_accident               | report_id               | Report ID                      | Numeric, Length=7        | Reporting  ID                  | Identifies the OSHA federal or state reporting jurisdiction                                                                                                                                                                                                                          |
| osha_accident               | event_desc              | Event Description              | Alphanumeric, Length:60  | Event Description              | Short description of event                                                                                                                                                                                                                                                           |
| osha_accident               | load_dt                 | Load Date Timestamp            | date                     | No Label                       | The date the load was completed.                                                                                                                                                                                                                                                     |
| osha_accident               | summary_nr              | Summary NR                     | Numeric, Length=9        | Summary NR                     | Identifies the accident OSHA-170 form                                                                                                                                                                                                                                                |
| osha_accident               | fatality                | Fatality                       | Alphanumeric, Length:1   | Fatality                       | X=Fatality is associated with accident                                                                                                                                                                                                                                               |
| osha_accident               | build_stories           | Stories in Building            | Numeric, Length=4        | Stories in Building            | Construction - nr of stories in building                                                                                                                                                                                                                                             |
| osha_accident               | event_time              | Event Time                     | Numeric, Length=8        | Event Time                     | Time of accident (hhmm)                                                                                                                                                                                                                                                              |
| osha_accident               | sic_list                | SIC List                       | Alphanumeric, Length:40  | Associated SICs                | Comma separated 4-digit SICs associated with related inspections                                                                                                                                                                                                                     |
| osha_accident               | const_end_use           | Construction End Use           | Alphanumeric, Length:1   | End Use                        | Construction - end-use (code table ENDU)                                                                                                                                                                                                                                             |
| osha_accident               | abstract_text           | Abstract Text                  | Alphanumeric, Length:80  | Abstract Text                  | Abstract text.                                                                                                                                                                                                                                                                       |
| osha_accident               | state_flag              | State Flag                     | Alphanumeric, Length:1   | No Label                       | The flag used to identify a State.                                                                                                                                                                                                                                                   |
| osha_accident               | project_cost            | Project Cost                   | Alphanumeric, Length:1   | Project Cost                   | Construction - project cost range (code table COST)                                                                                                                                                                                                                                  |
| osha_accident_abstract      | line_nr                 | Line NR                        | Numeric, Length=4        | Line NR                        | Abstract line nr - this is a sequence number which should only be used for ordering the lines                                                                                                                                                                                        |
| osha_accident_abstract      | abstract_text           | Abstract text                  | Alphanumeric, Length:80  | Abstract Text                  | Abstract text                                                                                                                                                                                                                                                                        |
| osha_accident_abstract      | load_dt                 | Load Date Timestamp            | date                     | No Label                       | The date the load was completed.                                                                                                                                                                                                                                                     |
| osha_accident_abstract      | summary_nr              | Summary NR                     | Numeric, Length=9        | Summary NR                     | Identifies the accident OSHA-170 form                                                                                                                                                                                                                                                |
| osha_accident_injury        | load_dt                 | Load Date Timestamp            | date                     | No Label                       | The date the load was completed.                                                                                                                                                                                                                                                     |
| osha_accident_injury        | degree_of_inj           | Degree of Injury               | Numeric, Length=1        | Degree of Injury               | 1=Fatality. 2=Hospitalized injuries. 3=No Hospitalized injuries                                                                                                                                                                                                                      |
| osha_accident_injury        | task_assigned           | Task Assigned                  | Numeric, Length=1        | Task Assigned                  | 1=Task regularly assigned. 2=Task not regularly assigned                                                                                                                                                                                                                             |
| osha_accident_injury        | age                     | Age                            | Numeric, Length=2        | Age                            | Age of the injured person                                                                                                                                                                                                                                                            |
| osha_accident_injury        | fat_cause               | Construction Cause of Fatality | Numeric, Length=2        | Cause of Fatality              | Construction - cause of fatality (code table CAUS)                                                                                                                                                                                                                                   |
| osha_accident_injury        | const_op_cause          | Construction Cause of Injury   | Numeric, Length=2        | Cause of Injury                | Construction - cause of injury (code table OPER)                                                                                                                                                                                                                                     |
| osha_accident_injury        | fall_distance           | Distance of Fall               | Numeric, Length=4        | Distance of Fall               | Construction - distance of fall (feet)                                                                                                                                                                                                                                               |
| osha_accident_injury        | fall_ht                 | Height of Person               | Numeric, Length=4        | Height of Person               | Construction - height of person when fell (feet)                                                                                                                                                                                                                                     |
| osha_accident_injury        | const_op                | Construction Operation Code    | Numeric, Length=2        | Operation Code                 | Construction - operation code (code table OPER)                                                                                                                                                                                                                                      |
| osha_accident_injury        | evn_factor              | Environmental Factor           | Numeric, Length=2        | Environmental Factor           | Environmental factor code - code table EN                                                                                                                                                                                                                                            |
| osha_accident_injury        | event_type              | Event Type                     | Numeric, Length=2        | Event Type                     | Event type code - code table FT                                                                                                                                                                                                                                                      |
| osha_accident_injury        | hazsub                  | Hazardous Substance            | Alphanumeric, Length=4   | Hazardous Substance            | Hazardous substance code                                                                                                                                                                                                                                                             |
| osha_accident_injury        | hum_factor              | Human Factor                   | Numeric, Length=2        | Human Factor                   | Human factor code - code table HU                                                                                                                                                                                                                                                    |
| osha_accident_injury        | summary_nr              | Summary NR                     | Numeric, Length=9        | Summary NR                     | Identifies the accident OSHA-170 form                                                                                                                                                                                                                                                |
| osha_accident_injury        | rel_insp_nr             | Related Inspection NR          | Numeric, Length=9        | Related Inspection NR          | Identifies the inspection associated with investigating a particular injury                                                                                                                                                                                                          |
| osha_accident_injury        | injury_line_nr          | Injury Line Number             | Numeric, Length=3        | Injury Line Number             | Injury line number - is often referenced in the abstract text to refer to a particular person.                                                                                                                                                                                       |
| osha_accident_injury        | sex                     | Sex                            | Alphanumeric, Length=1   | Sex                            | M=Male. F=Female                                                                                                                                                                                                                                                                     |
| osha_accident_injury        | nature_of_inj           | Nature of Injury               | Numeric, Length=2        | Nature of Injury               | Nature of injury code - code table IN                                                                                                                                                                                                                                                |
| osha_accident_injury        | occ_code                | Occupation Code                | Numeric, Length=3        | Occupation Code                | Occupation code - code table OCC                                                                                                                                                                                                                                                     |
| osha_accident_injury        | part_of_body            | Part of Body                   | Numeric, Length=2        | Part of Body                   | Part of body code - code table BD                                                                                                                                                                                                                                                    |
| osha_accident_injury        | src_of_injury           | Source of Injury               | Numeric, Length=2        | Source of Injury               | Source of injury code - code table SO                                                                                                                                                                                                                                                |
| osha_inspection             | host_est_key            | Host Establishment Key         | Alphanumeric, Length:17  | Host Establishment Key         | Internal establishment key                                                                                                                                                                                                                                                           |
| osha_inspection             | reporting_id            | Reporting ID                   | Numeric, Length:7        | Reporting ID                   | Identifies the OSHA federal or state reporting jurisdiction                                                                                                                                                                                                                          |
| osha_violation_gen_duty_std | load_dt                 | Load Date Timestamp            | date                     | No Label                       | The date the load was completed.                                                                                                                                                                                                                                                     |
| osha_inspection             | union_status            | Union Status                   | Alphanumeric, Length:1   | Union                          | Indicates union representation during inspection (Yes=Y/U/A. No=N/B/blank)                                                                                                                                                                                                           |
